% Model:              P1_2_Durchflussmessung_3D_Strömung_Albertin_Schegg.mph
% Version:            COMSOL 6.2.0.290
% Date:               Dec 8 2024, 23:41
% Table:              Accumulated Probe Table 2 - 
% Material Switch 1 index                         v_Wasser (m/s)                                    Temperature (degC), Sensor_1_Aluminium            Temperature (degC), Sensor_2_Aluminium            Temperature (degC), Sensor_1_Glas                 Temperature (degC), Sensor_2_Glas
1                                                 0.1                                               20.31404847140452                                 21.354225400897885                                20.31404847140452                                 21.354225400897885
1                                                 0.15000000000000002                               20.214655002838402                                21.05670125995258                                 20.214655002838402                                21.05670125995258
1                                                 0.2                                               20.16403109243197                                 20.884950511074628                                20.16403109243197                                 20.884950511074628
1                                                 0.25                                              20.1334320720389                                  20.770691303201545                                20.1334320720389                                  20.770691303201545
1                                                 0.30000000000000004                               20.11293185797077                                 20.68855328339199                                 20.11293185797077                                 20.68855328339199
1                                                 0.35                                              20.098227457091436                                20.62638506390528                                 20.098227457091436                                20.62638506390528
1                                                 0.4                                               20.087156844206856                                20.57758660084934                                 20.087156844206856                                20.57758660084934
1                                                 0.45000000000000007                               20.078512182618095                                20.538189382852305                                20.078512182618095                                20.538189382852305
1                                                 0.5                                               20.071568459643473                                20.505682076782954                                20.071568459643473                                20.505682076782954
1                                                 0.55                                              20.065859909217448                                20.47821736303544                                 20.065859909217448                                20.47821736303544
1                                                 0.6                                               20.06107975639772                                 20.454880439282174                                20.06107975639772                                 20.454880439282174
1                                                 0.65                                              20.057011989520067                                20.434572293163182                                20.057011989520067                                20.434572293163182
1                                                 0.7000000000000001                                20.05350662137175                                 20.416857450538252                                20.05350662137175                                 20.416857450538252
1                                                 0.75                                              20.050452697282033                                20.40122284069035                                 20.050452697282033                                20.40122284069035
1                                                 0.8                                               20.047762672124353                                20.38728151529439                                 20.047762672124353                                20.38728151529439
1                                                 0.85                                              20.04537666275389                                 20.37479193477244                                 20.04537666275389                                 20.37479193477244
1                                                 0.9                                               20.043243986176957                                20.363508298648444                                20.043243986176957                                20.363508298648444
1                                                 0.9500000000000001                                20.041325074740783                                20.35326983200135                                 20.041325074740783                                20.35326983200135
1                                                 1                                                 20.03959175736403                                 20.343926792771462                                20.03959175736403                                 20.343926792771462
2                                                 0.1                                               20.000000012286858                                22.128857507549704                                20.000000012286858                                22.128857507549704
2                                                 0.15000000000000002                               20.00000000374971                                 21.624647729802643                                20.00000000374971                                 21.624647729802643
2                                                 0.2                                               20.000000001718497                                21.339364421572224                                20.000000001718497                                21.339364421572224
2                                                 0.25                                              20.0000000009722                                  21.154157093701482                                20.0000000009722                                  21.154157093701482
2                                                 0.30000000000000004                               20.00000000062452                                 21.024227126631693                                20.00000000062452                                 21.024227126631693
2                                                 0.35                                              20.000000000436295                                20.92773224066811                                 20.000000000436295                                20.92773224066811
2                                                 0.4                                               20.00000000032355                                 20.853013925433785                                20.00000000032355                                 20.853013925433785
2                                                 0.45000000000000007                               20.000000000250697                                20.79369719523988                                 20.000000000250697                                20.79369719523988
2                                                 0.5                                               20.000000000200924                                20.745036826872024                                20.000000000200924                                20.745036826872024
2                                                 0.55                                              20.00000000016534                                 20.704416662473196                                20.00000000016534                                 20.704416662473196
2                                                 0.6                                               20.000000000139075                                20.670040697431816                                20.000000000139075                                20.670040697431816
2                                                 0.65                                              20.00000000011907                                 20.640412342051633                                20.00000000011907                                 20.640412342051633
2                                                 0.7000000000000001                                20.000000000103423                                20.614654858503226                                20.000000000103423                                20.614654858503226
2                                                 0.75                                              20.000000000091                                   20.59204519157257                                 20.000000000091                                   20.59204519157257
2                                                 0.8                                               20.000000000080863                                20.571959801861272                                20.000000000080863                                20.571959801861272
2                                                 0.85                                              20.000000000072696                                20.554048045297563                                20.000000000072696                                20.554048045297563
2                                                 0.9                                               20.00000000006576                                 20.537871207279988                                20.00000000006576                                 20.537871207279988
2                                                 0.9500000000000001                                20.0000000000599                                  20.52320485959809                                 20.0000000000599                                  20.52320485959809
2                                                 1                                                 20.000000000054925                                20.509903139279313                                20.000000000054925                                20.509903139279313
