R                                         T (degC)
0                                          79.99999999999761
0.0022727272727272717   79.99999999999767
0.004545454545454543     79.99999999999767
0.0068181818181818135   79.99999999999784
0.009090909090909087     79.99999999999801
0.011363636363636359     79.9999999999983
0.01363636363636363       79.99999999999864
0.015909090909090904     79.99999999999886
0.018181818181818177     79.9999999999992
0.02045454545454545       79.99999999999943
0.02272727272727272       79.9999999999996
0.025                                   80
0.027222222222222224     78.18169003870247
0.029444444444444447     76.50614513644456
0.03166666666666666       74.95256973001267
0.03388888888888889       73.50440512317499
0.036111111111111115     72.14825136783486
0.03833333333333333       70.87311165388951
0.04055555555555555       69.66984994426036
0.042777777777777776     68.53079348009607
0.045                                   67.44943606645484
