% Model:              P1_2_Durchflussmessung_3D_Punkt_O_Albertin_Schegg.mph
% Version:            COMSOL 6.2.0.290
% Date:               Dec 8 2024, 23:15
% Table:              Accumulated Probe Table 2 - 
% Material Switch 1 index                         v_Wasser (m/s)                                    Temperature (degC), Sensor_1_Aluminium            Temperature (degC), Sensor_2_Aluminium            Temperature (degC), Sensor_1_Glas                 Temperature (degC), Sensor_2_Glas
1                                                 0.1                                               20.85653736247369                                 21.838891600825164                                20.85653736247369                                 21.838891600825164
1                                                 0.15000000000000002                               20.673011602398656                                21.434974261454016                                20.673011602398656                                21.434974261454016
1                                                 0.2                                               20.557627682033313                                21.220807343595762                                20.557627682033313                                21.220807343595762
1                                                 0.25                                              20.465341090579244                                21.048814891068147                                20.465341090579244                                21.048814891068147
1                                                 0.30000000000000004                               20.392481160597796                                20.91823906532555                                 20.392481160597796                                20.91823906532555
1                                                 0.35                                              20.33408838895162                                 20.81454485903244                                 20.33408838895162                                 20.81454485903244
1                                                 0.4                                               20.28678870569143                                 20.73138356172396                                 20.28678870569143                                 20.73138356172396
1                                                 0.45000000000000007                               20.24786412056357                                 20.66299567506698                                 20.24786412056357                                 20.66299567506698
1                                                 0.5                                               20.215447464402892                                20.605881238127647                                20.215447464402892                                20.605881238127647
1                                                 0.55                                              20.188225020217406                                20.55745011861105                                 20.188225020217406                                20.55745011861105
1                                                 0.6                                               20.165211309351644                                20.515877256950443                                20.165211309351644                                20.515877256950443
1                                                 0.65                                              20.145689014142093                                20.479809185414787                                20.145689014142093                                20.479809185414787
1                                                 0.7000000000000001                                20.12897926947653                                 20.448223134568572                                20.12897926947653                                 20.448223134568572
1                                                 0.75                                              20.11458709866102                                 20.420301737237605                                20.11458709866102                                 20.420301737237605
1                                                 0.8                                               20.102137327928023                                20.395480386963644                                20.102137327928023                                20.395480386963644
1                                                 0.85                                              20.091318914936185                                20.373265409468885                                20.091318914936185                                20.373265409468885
1                                                 0.9                                               20.081887855450155                                20.353277620523492                                20.081887855450155                                20.353277620523492
1                                                 0.9500000000000001                                20.07363363118035                                 20.335189904360664                                20.07363363118035                                 20.335189904360664
1                                                 1                                                 20.06638000205751                                 20.318765852720254                                20.06638000205751                                 20.318765852720254
2                                                 0.1                                               20.000002862618647                                22.605816998590882                                20.000002862618647                                22.605816998590882
2                                                 0.15000000000000002                               20.00000091244784                                 21.919103935888543                                20.00000091244784                                 21.919103935888543
2                                                 0.2                                               20.000000442060948                                21.54619469733403                                 20.000000442060948                                21.54619469733403
2                                                 0.25                                              20.00000026456747                                 21.2873696726515                                  20.00000026456747                                 21.2873696726515
2                                                 0.30000000000000004                               20.000000178477777                                21.102921112471503                                20.000000178477777                                21.102921112471503
2                                                 0.35                                              20.000000131257035                                20.96630705096583                                 20.000000131257035                                20.96630705096583
2                                                 0.4                                               20.000000102534187                                20.860839622200068                                20.000000102534187                                20.860839622200068
2                                                 0.45000000000000007                               20.000000083741032                                20.776994785488576                                20.000000083741032                                20.776994785488576
2                                                 0.5                                               20.000000070742633                                20.70876128001541                                 20.000000070742633                                20.70876128001541
2                                                 0.55                                              20.00000006129306                                 20.65179009701964                                 20.00000006129306                                 20.65179009701964
2                                                 0.6                                               20.00000005417429                                 20.603657019336303                                20.00000005417429                                 20.603657019336303
2                                                 0.65                                              20.000000048672792                                20.562398945013225                                20.000000048672792                                20.562398945013225
2                                                 0.7000000000000001                                20.00000004431415                                 20.526557907463747                                20.00000004431415                                 20.526557907463747
2                                                 0.75                                              20.000000040773145                                20.495183558136045                                20.000000040773145                                20.495183558136045
2                                                 0.8                                               20.000000037852168                                20.46748025533852                                 20.000000037852168                                20.46748025533852
2                                                 0.85                                              20.00000003541104                                 20.44286610821755                                 20.00000003541104                                 20.44286610821755
2                                                 0.9                                               20.00000003334372                                 20.420788126197994                                20.00000003334372                                 20.420788126197994
2                                                 0.9500000000000001                                20.000000031568096                                20.400889678153174                                20.000000031568096                                20.400889678153174
2                                                 1                                                 20.000000030028314                                20.38282173094099                                 20.000000030028314                                20.38282173094099
