% Model:              P1_2_Durchflussmessung_3D_Ring_O_Albertin_Schegg.mph
% Version:            COMSOL 6.2.0.290
% Date:               Dec 8 2024, 22:50
% Table:              Accumulated Probe Table 2 - 
% Material Switch 1 index                         v_Wasser (m/s)                                    Temperature (degC), Sensor_1_Aluminium            Temperature (degC), Sensor_2_Aluminium            Temperature (degC), Sensor_1_Glas                 Temperature (degC), Sensor_2_Glas
1                                                 0.1                                               20.18818010273049                                 20.404037976851328                                20.18818010273049                                 20.404037976851328
1                                                 0.11                                              20.178256975410157                                20.379857614841345                                20.178256975410157                                20.379857614841345
1                                                 0.12000000000000001                               20.17012755684511                                 20.362434414485868                                20.17012755684511                                 20.362434414485868
1                                                 0.13                                              20.16273284905071                                 20.347287260860185                                20.16273284905071                                 20.347287260860185
1                                                 0.14                                              20.155892648975364                                20.333573722202114                                20.155892648975364                                20.333573722202114
1                                                 0.15000000000000002                               20.149507938292164                                20.32099259271769                                 20.149507938292164                                20.32099259271769
1                                                 0.16                                              20.143508164516234                                20.30934751613921                                 20.143508164516234                                20.30934751613921
1                                                 0.17                                              20.137853097278516                                20.298520660916456                                20.137853097278516                                20.298520660916456
1                                                 0.18                                              20.1325154032812                                  20.28839645318166                                 20.1325154032812                                  20.28839645318166
1                                                 0.19                                              20.127458029080724                                20.278896229387552                                20.127458029080724                                20.278896229387552
1                                                 0.2                                               20.122670315540567                                20.269991308035895                                20.122670315540567                                20.269991308035895
1                                                 0.21000000000000002                               20.118120612874296                                20.261583058311057                                20.118120612874296                                20.261583058311057
1                                                 0.22                                              20.11379558531558                                 20.253648592447167                                20.11379558531558                                 20.253648592447167
1                                                 0.23                                              20.10967882248955                                 20.246129180245237                                20.10967882248955                                 20.246129180245237
1                                                 0.24000000000000002                               20.105756292274478                                20.23900665676097                                 20.105756292274478                                20.23900665676097
1                                                 0.25                                              20.102018962979205                                20.232239951787406                                20.102018962979205                                20.232239951787406
1                                                 0.26                                              20.09845503100275                                 20.225817051795637                                20.09845503100275                                 20.225817051795637
1                                                 0.27                                              20.09505158361275                                 20.219711499154226                                20.09505158361275                                 20.219711499154226
1                                                 0.28                                              20.091798629947263                                20.213892673655497                                20.091798629947263                                20.213892673655497
1                                                 0.29000000000000004                               20.088702437357362                                20.208353961674923                                20.088702437357362                                20.208353961674923
1                                                 0.30000000000000004                               20.085742505949632                                20.203070810963187                                20.085742505949632                                20.203070810963187
1                                                 0.31                                              20.08290899359129                                 20.198023787187864                                20.08290899359129                                 20.198023787187864
1                                                 0.32                                              20.080200087307126                                20.193202567039844                                20.080200087307126                                20.193202567039844
1                                                 0.33                                              20.077608482195256                                20.188590038768062                                20.077608482195256                                20.188590038768062
1                                                 0.33999999999999997                               20.075124940232918                                20.184171890764116                                20.075124940232918                                20.184171890764116
1                                                 0.35                                              20.072745910144683                                20.179940964215284                                20.072745910144683                                20.179940964215284
1                                                 0.36                                              20.070463830044204                                20.17588687019261                                 20.070463830044204                                20.17588687019261
1                                                 0.37                                              20.068273299247224                                20.171997741695634                                20.068273299247224                                20.171997741695634
1                                                 0.38                                              20.0661722866749                                  20.168266963042687                                20.0661722866749                                  20.168266963042687
1                                                 0.39                                              20.064155686517125                                20.16468441710633                                 20.064155686517125                                20.16468441710633
1                                                 0.4                                               20.062219519881236                                20.161245194035057                                20.062219519881236                                20.161245194035057
1                                                 0.41000000000000003                               20.060358756358035                                20.157939439626077                                20.060358756358035                                20.157939439626077
1                                                 0.42000000000000004                               20.058570035645126                                20.154762526425472                                20.058570035645126                                20.154762526425472
1                                                 0.43000000000000005                               20.05684939003372                                 20.151701437879105                                20.05684939003372                                 20.151701437879105
1                                                 0.44000000000000006                               20.05519264447732                                 20.148756095475562                                20.05519264447732                                 20.148756095475562
1                                                 0.45000000000000007                               20.053597154915153                                20.145918679571867                                20.053597154915153                                20.145918679571867
1                                                 0.45999999999999996                               20.052059347023818                                20.143185344030456                                20.052059347023818                                20.143185344030456
1                                                 0.47                                              20.05057804188631                                 20.140548999924768                                20.05057804188631                                 20.140548999924768
1                                                 0.48                                              20.04914999194031                                 20.138004008017                                   20.04914999194031                                 20.138004008017
