R,T (degC)
0.025,80
0.03,76.57692415866325
0.035,73.68274612967832
0.04000000000000001,71.17569166266219
0.045000000000000005,68.96431136373445
0.05,66.98616351995082
0.05500000000000001,65.1967107248854
0.060000000000000005,63.56306808731978
0.065,62.06026240360478
0.07,60.66888158046464
0.07500000000000001,59.37353697004147
0.08000000000000002,58.16182297434756
0.08500000000000002,57.02359261191867
0.09000000000000001,55.950440463906716
0.095,54.935325602752584
0.1,53.9722913528617
0.10500000000000002,53.0562534956415
0.11000000000000001,52.18283778987035
0.115,51.348253639012626
0.12000000000000001,50.54919466521051
0.125,49.78275959321445
0.13,49.0463886605537
0.13500000000000004,48.337812035260356
0.14,47.65500761903559
0.14500000000000002,46.996166258382345
0.15,46.359662855870454
0.155,45.74403222004071
0.16000000000000003,45.147948750761884
0.165,44.570209251524375
0.17,44.009718308301615
0.175,43.46547578837868
0.18,42.93656610066273
0.18499999999999997,42.42214892777747
0.18999999999999997,41.921451194350595
0.195,41.43376007875702
0.19999999999999998,40.958416909755385
0.20500000000000002,40.494811816870936
0.20999999999999996,40.042379025510456
0.21500000000000002,39.600592705756014
0.22,39.16896329844252
0.22499999999999998,38.74703425414651
0.23,38.334379130619254
0.23499999999999996,37.93059900240053
0.24000000000000002,37.53532014316784
0.24499999999999997,37.14819194707326
0.25,36.76888506009061
0.255,36.39708969641612
0.25999999999999995,36.03251411835828
0.26499999999999996,35.67488326102705
0.26999999999999996,35.323937485580814
0.2749999999999999,34.97943144687429
0.28,34.64113306313749
0.285,34.30882257684857
0.29000000000000004,33.9822916972829
0.295,33.66134281635976
0.29999999999999993,33.34578829039356
0.305,33.03544978121363
0.31,32.73015765085836
0.315,32.429750404700485
0.31999999999999995,32.13407417842609
0.32499999999999996,31.84298226478859
0.33,31.55633467649136
0.33499999999999996,31.273997741941514
0.33999999999999997,30.995843730950526
0.34500000000000003,30.72175050775894
0.35,30.45160120902659
0.355,30.185283944662217
0.36,29.922691519576347
0.365,29.663721174625664
0.36999999999999994,29.408274345182008
0.375,29.156256435905732
0.38,28.907576610436934
0.385,28.66214759483273
0.38999999999999996,28.419885493687786
0.39499999999999996,28.180709617967352
0.39999999999999997,27.94454232366968
0.40499999999999997,27.711308860509916
0.41,27.48093722988824
0.415,27.25335805146625
0.42,27.028504437733773
0.425,26.806311875998006
0.43,26.586718117274472
0.435,26.369663071600883
0.43999999999999995,26.15508870933354
0.44500000000000006,25.94293896802037
0.45,25.733159664477398
0.455,25.52569841172243
0.45999999999999996,25.32050454044895
0.46499999999999997,25.11752902474427
0.47,24.916724411780592
0.47500000000000003,24.7180447552264
0.48,24.521445552143746
0.485,24.326883683156325
0.49,24.134317355684857
0.49499999999999994,23.943706050065146
0.5,23.75501046837303
