% Model:              7_Albertin_Schegg_P1_2_Durchflussmessung_2D.mph
% Version:            COMSOL 6.2.0.290
% Date:               Dec 8 2024, 22:14
% Table:              Accumulated Probe Table 2 - 
% Material Switch 1 index                         v_Wasser (m/s)                                    Temperature (degC), Sensor_1_Aluminium            Temperature (degC), Sensor_2_Aluminium            Temperature (degC), Sensor_1_Glas                 Temperature (degC), Sensor_2_Glas
1                                                 0.1                                               20.212440354753404                                20.455844311445258                                20.212440354753404                                20.455844311445258
1                                                 0.11                                              20.20566148800827                                 20.441569175677362                                20.20566148800827                                 20.441569175677362
1                                                 0.12000000000000001                               20.199588290325195                                20.42885994614305                                 20.199588290325195                                20.42885994614305
1                                                 0.13                                              20.194101352269026                                20.417454219044288                                20.194101352269026                                20.417454219044288
1                                                 0.14                                              20.189096254831764                                20.4070951804455                                  20.189096254831764                                20.4070951804455
1                                                 0.15000000000000002                               20.18450369761379                                 20.39763740149553                                 20.18450369761379                                 20.39763740149553
1                                                 0.16                                              20.18026268537405                                 20.3889458081962                                  20.18026268537405                                 20.3889458081962
1                                                 0.17                                              20.176327830306548                                20.380925630222215                                20.176327830306548                                20.380925630222215
1                                                 0.18                                              20.172666947283822                                20.37351134420619                                 20.172666947283822                                20.37351134420619
1                                                 0.19                                              20.16924658002876                                 20.366630130213974                                20.16924658002876                                 20.366630130213974
1                                                 0.2                                               20.16603591991216                                 20.360208021599735                                20.16603591991216                                 20.360208021599735
1                                                 0.21000000000000002                               20.16301433556665                                 20.354193238489074                                20.16301433556665                                 20.354193238489074
1                                                 0.22                                              20.160158923623445                                20.348525159903293                                20.160158923623445                                20.348525159903293
1                                                 0.23                                              20.15745540824491                                 20.343185376669545                                20.15745540824491                                 20.343185376669545
1                                                 0.24000000000000002                               20.154884297627827                                20.338113220529635                                20.154884297627827                                20.338113220529635
1                                                 0.25                                              20.152434598232688                                20.333284122648077                                20.152434598232688                                20.333284122648077
1                                                 0.26                                              20.150094156620245                                20.328678905501263                                20.150094156620245                                20.328678905501263
1                                                 0.27                                              20.14785554667881                                 20.32426429806732                                 20.14785554667881                                 20.32426429806732
1                                                 0.28                                              20.145712827028017                                20.320041392407436                                20.145712827028017                                20.320041392407436
1                                                 0.29000000000000004                               20.14366117209075                                 20.316002059932696                                20.14366117209075                                 20.316002059932696
1                                                 0.30000000000000004                               20.14169211548486                                 20.312133210373364                                20.14169211548486                                 20.312133210373364
1                                                 0.31                                              20.139800334237066                                20.308414667061367                                20.139800334237066                                20.308414667061367
1                                                 0.32                                              20.13798089275448                                 20.30484305257316                                 20.13798089275448                                 20.30484305257316
1                                                 0.33                                              20.136230194948954                                20.301416587574934                                20.136230194948954                                20.301416587574934
1                                                 0.33999999999999997                               20.13454300795684                                 20.298114339047164                                20.13454300795684                                 20.298114339047164
1                                                 0.35                                              20.132914080161296                                20.29491646802343                                 20.132914080161296                                20.29491646802343
1                                                 0.36                                              20.13133882058931                                 20.291817970351733                                20.13133882058931                                 20.291817970351733
1                                                 0.37                                              20.12981456475868                                 20.288811748199905                                20.12981456475868                                 20.288811748199905
1                                                 0.38                                              20.12833801573403                                 20.28588721079226                                 20.12833801573403                                 20.28588721079226
1                                                 0.39                                              20.126905218409334                                20.283039644985028                                20.126905218409334                                20.283039644985028
1                                                 0.4                                               20.125515103971274                                20.280265472030667                                20.125515103971274                                20.280265472030667
1                                                 0.41000000000000003                               20.12416675359542                                 20.27756963296802                                 20.12416675359542                                 20.27756963296802
1                                                 0.42000000000000004                               20.122858686331053                                20.274958405634248                                20.122858686331053                                20.274958405634248
1                                                 0.43000000000000005                               20.121588337807978                                20.272414340021722                                20.121588337807978                                20.272414340021722
1                                                 0.44000000000000006                               20.12035036646408                                 20.269925136160712                                20.12035036646408                                 20.269925136160712
